Year,City,Sport,Discipline,NOC,Event,Gender,Medal
1948,St. Moritz,Skating,Figure skating,AUT,individual,M,Bronze
1948,St. Moritz,Skating,Figure skating,AUT,individual,W,Silver
1948,St. Moritz,Skiing,Alpine Skiing,AUT,alpine combined,W,Bronze
1948,St. Moritz,Skiing,Alpine Skiing,AUT,alpine combined,W,Gold
1948,St. Moritz,Skiing,Alpine Skiing,AUT,downhill,M,Silver
1948,St. Moritz,Skiing,Alpine Skiing,AUT,downhill,W,Bronze
1948,St. Moritz,Skiing,Alpine Skiing,AUT,downhill,W,Silver
1948,St. Moritz,Skiing,Alpine Skiing,AUT,slalom,W,Bronze
1948,St. Moritz,Bobsleigh,Bobsleigh,BEL,four-man,M,Silver
1948,St. Moritz,Skating,Figure skating,BEL,pairs,X,Gold
1948,St. Moritz,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
1948,St. Moritz,Skating,Figure skating,CAN,individual,W,Gold
1948,St. Moritz,Skating,Figure skating,CAN,pairs,X,Bronze
1948,St. Moritz,Skating,Speed skating,FIN,10000m,M,Bronze
1948,St. Moritz,Skating,Speed skating,FIN,10000m,M,Silver
1948,St. Moritz,Skiing,Cross Country S,FIN,4x10km relay,M,Silver
1948,St. Moritz,Skiing,Cross Country S,FIN,50km,M,Bronze
1948,St. Moritz,Skiing,Nordic Combined,FIN,individual,M,Gold
1948,St. Moritz,Skiing,Nordic Combined,FIN,individual,M,Silver
1948,St. Moritz,Skiing,Alpine Skiing,FRA,alpine combined,M,Bronze
1948,St. Moritz,Skiing,Alpine Skiing,FRA,alpine combined,M,Gold
1948,St. Moritz,Skiing,Alpine Skiing,FRA,downhill,M,Gold
1948,St. Moritz,Skiing,Alpine Skiing,FRA,slalom,M,Bronze
1948,St. Moritz,Skiing,Alpine Skiing,FRA,slalom,M,Silver
1948,St. Moritz,Bobsleigh,Skeleton,GBR,individual,M,Bronze
1948,St. Moritz,Skating,Figure skating,GBR,individual,W,Bronze
1948,St. Moritz,Skating,Figure skating,HUN,pairs,X,Silver
1948,St. Moritz,Bobsleigh,Skeleton,ITA,individual,M,Gold
1948,St. Moritz,Skating,Speed skating,NOR,1500m,M,Bronze
1948,St. Moritz,Skating,Speed skating,NOR,1500m,M,Gold
1948,St. Moritz,Skating,Speed skating,NOR,5000m,M,Gold
1948,St. Moritz,Skating,Speed skating,NOR,5000m,M,Silver
1948,St. Moritz,Skating,Speed skating,NOR,500m,M,Gold
1948,St. Moritz,Skating,Speed skating,NOR,500m,M,Silver
1948,St. Moritz,Skiing,Cross Country S,NOR,4x10km relay,M,Bronze
1948,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Bronze
1948,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Gold
1948,St. Moritz,Skiing,Ski Jumping,NOR,K90 individual (70m),M,Silver
1948,St. Moritz,Bobsleigh,Bobsleigh,SUI,two-man,M,Gold
1948,St. Moritz,Bobsleigh,Bobsleigh,SUI,two-man,M,Silver
1948,St. Moritz,Ice Hockey,Ice Hockey,SUI,ice hockey,M,Bronze
1948,St. Moritz,Skating,Figure skating,SUI,individual,M,Silver
1948,St. Moritz,Skiing,Alpine Skiing,SUI,alpine combined,M,Silver
1948,St. Moritz,Skiing,Alpine Skiing,SUI,downhill,M,Bronze
1948,St. Moritz,Skiing,Alpine Skiing,SUI,downhill,M,Bronze
1948,St. Moritz,Skiing,Alpine Skiing,SUI,downhill,W,Gold
1948,St. Moritz,Skiing,Alpine Skiing,SUI,slalom,M,Gold
1948,St. Moritz,Skiing,Alpine Skiing,SUI,slalom,W,Silver
1948,St. Moritz,Skating,Speed skating,SWE,10000m,M,Gold
1948,St. Moritz,Skating,Speed skating,SWE,1500m,M,Silver
1948,St. Moritz,Skating,Speed skating,SWE,5000m,M,Bronze
1948,St. Moritz,Skiing,Cross Country S,SWE,18km,M,Bronze
1948,St. Moritz,Skiing,Cross Country S,SWE,18km,M,Gold
1948,St. Moritz,Skiing,Cross Country S,SWE,18km,M,Silver
1948,St. Moritz,Skiing,Cross Country S,SWE,4x10km relay,M,Gold
1948,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Gold
1948,St. Moritz,Skiing,Cross Country S,SWE,50km,M,Silver
1948,St. Moritz,Skiing,Nordic Combined,SWE,individual,M,Bronze
1948,St. Moritz,Ice Hockey,Ice Hockey,TCH,ice hockey,M,Silver
1948,St. Moritz,Bobsleigh,Bobsleigh,USA,four-man,M,Bronze
1948,St. Moritz,Bobsleigh,Bobsleigh,USA,four-man,M,Gold
1948,St. Moritz,Bobsleigh,Bobsleigh,USA,two-man,M,Bronze
1948,St. Moritz,Bobsleigh,Skeleton,USA,individual,M,Silver
1948,St. Moritz,Skating,Figure skating,USA,individual,M,Gold
1948,St. Moritz,Skating,Speed skating,USA,500m,M,Silver
1948,St. Moritz,Skating,Speed skating,USA,500m,M,Silver
1948,St. Moritz,Skiing,Alpine Skiing,USA,alpine combined,W,Silver
1948,St. Moritz,Skiing,Alpine Skiing,USA,slalom,W,Gold
