Year,City,Sport,Discipline,NOC,Event,Gender,Medal
1972,Sapporo,Skating,Figure skating,AUT,individual,W,Gold
1972,Sapporo,Skiing,Alpine Skiing,AUT,downhill,M,Bronze
1972,Sapporo,Skiing,Alpine Skiing,AUT,downhill,W,Silver
1972,Sapporo,Skiing,Alpine Skiing,AUT,giant slalom,W,Bronze
1972,Sapporo,Skiing,Alpine Skiing,AUT,giant slalom,W,Silver
1972,Sapporo,Skating,Figure skating,CAN,individual,W,Silver
1972,Sapporo,Skiing,Alpine Skiing,ESP,slalom,M,Gold
1972,Sapporo,Biathlon,Biathlon,FIN,4x7.5km relay,M,Silver
1972,Sapporo,Skiing,Cross Country S,FIN,10km,W,Bronze
1972,Sapporo,Skiing,Cross Country S,FIN,3x5km relay,W,Silver
1972,Sapporo,Skiing,Cross Country S,FIN,5km,W,Silver
1972,Sapporo,Skiing,Nordic Combined,FIN,individual,M,Silver
1972,Sapporo,Skating,Figure skating,FRA,individual,M,Bronze
1972,Sapporo,Skiing,Alpine Skiing,FRA,slalom,W,Bronze
1972,Sapporo,Skiing,Alpine Skiing,FRA,slalom,W,Silver
1972,Sapporo,Bobsleigh,Bobsleigh,FRG,four-man,M,Bronze
1972,Sapporo,Bobsleigh,Bobsleigh,FRG,two-man,M,Gold
1972,Sapporo,Bobsleigh,Bobsleigh,FRG,two-man,M,Silver
1972,Sapporo,Skating,Speed skating,FRG,1000m,W,Gold
1972,Sapporo,Skating,Speed skating,FRG,500m,M,Gold
1972,Sapporo,Biathlon,Biathlon,GDR,20km,M,Silver
1972,Sapporo,Biathlon,Biathlon,GDR,4x7.5km relay,M,Bronze
1972,Sapporo,Luge,Luge,GDR,doubles,X,Bronze
1972,Sapporo,Luge,Luge,GDR,doubles,X,Gold
1972,Sapporo,Luge,Luge,GDR,singles,M,Bronze
1972,Sapporo,Luge,Luge,GDR,singles,M,Gold
1972,Sapporo,Luge,Luge,GDR,singles,M,Silver
1972,Sapporo,Luge,Luge,GDR,singles,W,Bronze
1972,Sapporo,Luge,Luge,GDR,singles,W,Gold
1972,Sapporo,Luge,Luge,GDR,singles,W,Silver
1972,Sapporo,Skating,Figure skating,GDR,pairs,X,Bronze
1972,Sapporo,Skiing,Nordic Combined,GDR,individual,M,Bronze
1972,Sapporo,Skiing,Nordic Combined,GDR,individual,M,Gold
1972,Sapporo,Skiing,Ski Jumping,GDR,K120 individual (90m),M,Bronze
1972,Sapporo,Bobsleigh,Bobsleigh,ITA,four-man,M,Silver
1972,Sapporo,Luge,Luge,ITA,doubles,X,Gold
1972,Sapporo,Skiing,Alpine Skiing,ITA,giant slalom,M,Gold
1972,Sapporo,Skiing,Alpine Skiing,ITA,slalom,M,Bronze
1972,Sapporo,Skiing,Alpine Skiing,ITA,slalom,M,Silver
1972,Sapporo,Skiing,Ski Jumping,JPN,K90 individual (70m),M,Bronze
1972,Sapporo,Skiing,Ski Jumping,JPN,K90 individual (70m),M,Gold
1972,Sapporo,Skiing,Ski Jumping,JPN,K90 individual (70m),M,Silver
1972,Sapporo,Skating,Speed skating,NED,10000m,M,Gold
1972,Sapporo,Skating,Speed skating,NED,10000m,M,Silver
1972,Sapporo,Skating,Speed skating,NED,1000m,W,Silver
1972,Sapporo,Skating,Speed skating,NED,1500m,M,Gold
1972,Sapporo,Skating,Speed skating,NED,1500m,W,Bronze
1972,Sapporo,Skating,Speed skating,NED,1500m,W,Silver
1972,Sapporo,Skating,Speed skating,NED,3000m,W,Bronze
1972,Sapporo,Skating,Speed skating,NED,3000m,W,Gold
1972,Sapporo,Skating,Speed skating,NED,5000m,M,Gold
1972,Sapporo,Biathlon,Biathlon,NOR,20km,M,Gold
1972,Sapporo,Skating,Speed skating,NOR,10000m,M,Bronze
1972,Sapporo,Skating,Speed skating,NOR,1500m,M,Silver
1972,Sapporo,Skating,Speed skating,NOR,5000m,M,Bronze
1972,Sapporo,Skating,Speed skating,NOR,5000m,M,Silver
1972,Sapporo,Skiing,Cross Country S,NOR,15km,M,Bronze
1972,Sapporo,Skiing,Cross Country S,NOR,30km mass start,M,Bronze
1972,Sapporo,Skiing,Cross Country S,NOR,30km mass start,M,Silver
1972,Sapporo,Skiing,Cross Country S,NOR,3x5km relay,W,Bronze
