Year,City,Sport,Discipline,NOC,Event,Gender,Medal
2002,Salt Lake City,Skating,Short Track S.,AUS,1000m,M,Gold
2002,Salt Lake City,Skiing,Freestyle Ski.,AUS,aerials,W,Gold
2002,Salt Lake City,Biathlon,Biathlon,AUT,10km,M,Bronze
2002,Salt Lake City,Bobsleigh,Skeleton,AUT,individual,M,Silver
2002,Salt Lake City,Luge,Luge,AUT,singles,M,Bronze
2002,Salt Lake City,Skiing,Alpine Skiing,AUT,alpine combined,M,Bronze
2002,Salt Lake City,Skiing,Alpine Skiing,AUT,alpine combined,W,Silver
2002,Salt Lake City,Skiing,Alpine Skiing,AUT,downhill,M,Bronze
2002,Salt Lake City,Skiing,Alpine Skiing,AUT,downhill,M,Gold
2002,Salt Lake City,Skiing,Alpine Skiing,AUT,downhill,W,Bronze
2002,Salt Lake City,Skiing,Alpine Skiing,AUT,giant slalom,M,Gold
2002,Salt Lake City,Skiing,Alpine Skiing,AUT,slalom,M,Bronze
2002,Salt Lake City,Skiing,Alpine Skiing,AUT,super-G,M,Bronze
2002,Salt Lake City,Skiing,Alpine Skiing,AUT,super-G,M,Silver
2002,Salt Lake City,Skiing,Cross Country S,AUT,30km mass start,M,Gold
2002,Salt Lake City,Skiing,Cross Country S,AUT,30km mass start,M,Silver
2002,Salt Lake City,Skiing,Nordic Combined,AUT,individual,M,Bronze
2002,Salt Lake City,Skiing,Nordic Combined,AUT,sprint,M,Bronze
2002,Salt Lake City,Skiing,Nordic Combined,AUT,Team,M,Bronze
2002,Salt Lake City,Skiing,Freestyle Ski.,BLR,aerials,M,Bronze
2002,Salt Lake City,Biathlon,Biathlon,BUL,10km pursuit,W,Bronze
2002,Salt Lake City,Skating,Short Track S.,BUL,1500m,W,Bronze
2002,Salt Lake City,Skating,Short Track S.,BUL,500m,W,Silver
2002,Salt Lake City,Curling,Curling,CAN,curling,M,Silver
2002,Salt Lake City,Curling,Curling,CAN,curling,W,Bronze
2002,Salt Lake City,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Gold
2002,Salt Lake City,Ice Hockey,Ice Hockey,CAN,ice hockey,W,Gold
2002,Salt Lake City,Skating,Figure skating,CAN,pairs,X,Gold
2002,Salt Lake City,Skating,Short Track S.,CAN,1000m,M,Bronze
2002,Salt Lake City,Skating,Short Track S.,CAN,1500m,M,Bronze
2002,Salt Lake City,Skating,Short Track S.,CAN,3000m relay,W,Bronze
2002,Salt Lake City,Skating,Short Track S.,CAN,5000m relay,M,Gold
2002,Salt Lake City,Skating,Short Track S.,CAN,500m,M,Gold
2002,Salt Lake City,Skating,Short Track S.,CAN,500m,M,Silver
2002,Salt Lake City,Skating,Speed skating,CAN,3000m,W,Bronze
2002,Salt Lake City,Skating,Speed skating,CAN,5000m,W,Bronze
2002,Salt Lake City,Skating,Speed skating,CAN,500m,W,Gold
2002,Salt Lake City,Skiing,Cross Country S,CAN,5km pursuit,W,Gold
2002,Salt Lake City,Skiing,Freestyle Ski.,CAN,aerials,W,Bronze
2002,Salt Lake City,Skiing,Freestyle Ski.,CAN,aerials,W,Silver
2002,Salt Lake City,Skating,Figure skating,CHN,pairs,X,Bronze
2002,Salt Lake City,Skating,Short Track S.,CHN,1000m,W,Bronze
2002,Salt Lake City,Skating,Short Track S.,CHN,1000m,W,Gold
2002,Salt Lake City,Skating,Short Track S.,CHN,1500m,M,Silver
2002,Salt Lake City,Skating,Short Track S.,CHN,3000m relay,W,Silver
