Year,City,Sport,Discipline,NOC,Event,Gender,Medal
1960,Squaw Valley,Skiing,Alpine Skiing,AUT,downhill,W,Bronze
1960,Squaw Valley,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze
1960,Squaw Valley,Skiing,Alpine Skiing,AUT,giant slalom,M,Silver
1960,Squaw Valley,Skiing,Alpine Skiing,AUT,slalom,M,Gold
1960,Squaw Valley,Skiing,Alpine Skiing,AUT,slalom,M,Silver
1960,Squaw Valley,Skiing,Ski Jumping,AUT,K90 individual (70m),M,Bronze
1960,Squaw Valley,Ice Hockey,Ice Hockey,CAN,ice hockey,M,Silver
1960,Squaw Valley,Skating,Figure skating,CAN,individual,M,Bronze
1960,Squaw Valley,Skating,Figure skating,CAN,pairs,X,Gold
1960,Squaw Valley,Skiing,Alpine Skiing,CAN,slalom,W,Gold
1960,Squaw Valley,Skating,Figure skating,EUA,pairs,X,Silver
1960,Squaw Valley,Skating,Speed skating,EUA,1000m,W,Silver
1960,Squaw Valley,Skating,Speed skating,EUA,500m,W,Gold
1960,Squaw Valley,Skiing,Alpine Skiing,EUA,downhill,M,Silver
1960,Squaw Valley,Skiing,Alpine Skiing,EUA,downhill,W,Gold
1960,Squaw Valley,Skiing,Alpine Skiing,EUA,slalom,W,Bronze
1960,Squaw Valley,Skiing,Nordic Combined,EUA,individual,M,Gold
1960,Squaw Valley,Skiing,Ski Jumping,EUA,K90 individual (70m),M,Gold
1960,Squaw Valley,Biathlon,Biathlon,FIN,20km,M,Silver
1960,Squaw Valley,Skating,Speed skating,FIN,3000m,W,Bronze
1960,Squaw Valley,Skiing,Cross Country S,FIN,15km,M,Bronze
1960,Squaw Valley,Skiing,Cross Country S,FIN,3x5km relay,W,Bronze
1960,Squaw Valley,Skiing,Cross Country S,FIN,4x10km relay,M,Gold
1960,Squaw Valley,Skiing,Cross Country S,FIN,50km,M,Gold
1960,Squaw Valley,Skiing,Cross Country S,FIN,50km,M,Silver
1960,Squaw Valley,Skiing,Ski Jumping,FIN,K90 individual (70m),M,Silver
1960,Squaw Valley,Skiing,Alpine Skiing,FRA,downhill,M,Bronze
1960,Squaw Valley,Skiing,Alpine Skiing,FRA,downhill,M,Gold
1960,Squaw Valley,Skiing,Alpine Skiing,FRA,slalom,M,Bronze
1960,Squaw Valley,Skiing,Alpine Skiing,ITA,giant slalom,W,Bronze
1960,Squaw Valley,Skating,Figure skating,NED,individual,W,Silver
1960,Squaw Valley,Skating,Speed skating,NED,5000m,M,Bronze
1960,Squaw Valley,Skating,Speed skating,NOR,10000m,M,Gold
1960,Squaw Valley,Skating,Speed skating,NOR,1500m,M,Gold
1960,Squaw Valley,Skating,Speed skating,NOR,5000m,M,Silver
1960,Squaw Valley,Skiing,Cross Country S,NOR,15km,M,Gold
1960,Squaw Valley,Skiing,Cross Country S,NOR,4x10km relay,M,Silver
1960,Squaw Valley,Skiing,Nordic Combined,NOR,individual,M,Silver
1960,Squaw Valley,Skating,Speed skating,POL,1500m,W,Bronze
1960,Squaw Valley,Skating,Speed skating,POL,1500m,W,Silver
1960,Squaw Valley,Skiing,Alpine Skiing,SUI,giant slalom,M,Gold
1960,Squaw Valley,Skiing,Alpine Skiing,SUI,giant slalom,W,Gold
1960,Squaw Valley,Biathlon,Biathlon,SWE,20km,M,Gold
1960,Squaw Valley,Skating,Speed skating,SWE,10000m,M,Bronze
1960,Squaw Valley,Skiing,Cross Country S,SWE,15km,M,Silver
1960,Squaw Valley,Skiing,Cross Country S,SWE,30km mass start,M,Gold
1960,Squaw Valley,Skiing,Cross Country S,SWE,30km mass start,M,Silver
1960,Squaw Valley,Skiing,Cross Country S,SWE,3x5km relay,W,Gold
1960,Squaw Valley,Skiing,Cross Country S,SWE,50km,M,Bronze
1960,Squaw Valley,Skating,Figure skating,TCH,individual,M,Silver
1960,Squaw Valley,Biathlon,Biathlon,URS,20km,M,Bronze
1960,Squaw Valley,Ice Hockey,Ice Hockey,URS,ice hockey,M,Bronze
1960,Squaw Valley,Skating,Speed skating,URS,10000m,M,Silver
1960,Squaw Valley,Skating,Speed skating,URS,1000m,W,Bronze
1960,Squaw Valley,Skating,Speed skating,URS,1000m,W,Gold
