Year,City,Sport,Discipline,NOC,Event,Gender,Medal
1980,Lake Placid,Luge,Luge,AUT,doubles,X,Bronze
1980,Lake Placid,Skiing,Alpine Skiing,AUT,downhill,M,Gold
1980,Lake Placid,Skiing,Alpine Skiing,AUT,downhill,M,Silver
1980,Lake Placid,Skiing,Alpine Skiing,AUT,downhill,W,Gold
1980,Lake Placid,Skiing,Alpine Skiing,AUT,giant slalom,M,Bronze
1980,Lake Placid,Skiing,Ski Jumping,AUT,K120 individual (90m),M,Silver
1980,Lake Placid,Skiing,Ski Jumping,AUT,K90 individual (70m),M,Gold
1980,Lake Placid,Skiing,Cross Country S,BUL,30km mass start,M,Bronze
1980,Lake Placid,Skating,Speed skating,CAN,1000m,M,Silver
1980,Lake Placid,Skiing,Alpine Skiing,CAN,downhill,M,Bronze
1980,Lake Placid,Skiing,Cross Country S,FIN,10km,W,Bronze
1980,Lake Placid,Skiing,Cross Country S,FIN,10km,W,Silver
1980,Lake Placid,Skiing,Cross Country S,FIN,15km,M,Silver
1980,Lake Placid,Skiing,Cross Country S,FIN,4x10km relay,M,Bronze
1980,Lake Placid,Skiing,Cross Country S,FIN,50km,M,Silver
1980,Lake Placid,Skiing,Cross Country S,FIN,5km,W,Silver
1980,Lake Placid,Skiing,Nordic Combined,FIN,individual,M,Silver
1980,Lake Placid,Skiing,Ski Jumping,FIN,K120 individual (90m),M,Bronze
1980,Lake Placid,Skiing,Ski Jumping,FIN,K120 individual (90m),M,Gold
1980,Lake Placid,Skiing,Alpine Skiing,FRA,giant slalom,W,Bronze
1980,Lake Placid,Biathlon,Biathlon,FRG,4x7.5km relay,M,Bronze
1980,Lake Placid,Luge,Luge,FRG,singles,M,Bronze
1980,Lake Placid,Skating,Figure skating,FRG,individual,W,Bronze
1980,Lake Placid,Skiing,Alpine Skiing,FRG,giant slalom,W,Silver
1980,Lake Placid,Skiing,Alpine Skiing,FRG,slalom,W,Silver
1980,Lake Placid,Skating,Figure skating,GBR,individual,M,Gold
1980,Lake Placid,Biathlon,Biathlon,GDR,10km,M,Gold
1980,Lake Placid,Biathlon,Biathlon,GDR,20km,M,Bronze
1980,Lake Placid,Biathlon,Biathlon,GDR,20km,M,Silver
1980,Lake Placid,Biathlon,Biathlon,GDR,4x7.5km relay,M,Silver
1980,Lake Placid,Bobsleigh,Bobsleigh,GDR,four-man,M,Bronze
1980,Lake Placid,Bobsleigh,Bobsleigh,GDR,four-man,M,Gold
1980,Lake Placid,Bobsleigh,Bobsleigh,GDR,two-man,M,Bronze
1980,Lake Placid,Bobsleigh,Bobsleigh,GDR,two-man,M,Silver
1980,Lake Placid,Luge,Luge,GDR,doubles,X,Gold
1980,Lake Placid,Luge,Luge,GDR,singles,M,Gold
